family,species,model_id,dic,waic,log_cpo_sum,fixed_effects
bell,falciparum,1,160070.8144699133,444830.37020276306,-95490.64349779792,"[{""mean"":-10.826518,""sd"":0.084411,""0.025quant"":-10.99299,""0.5quant"":-10.8265,""0.975quant"":-10.660174,""mode"":-10.826509,""kld"":4.056922e-08,""variable"":""(Intercept)""}]"
bell,falciparum,2,160257.1042884377,444186.4006750077,-95474.2154662212,"[{""mean"":-11.40169,""sd"":0.934126,""0.025quant"":-13.231094,""0.5quant"":-11.403186,""0.975quant"":-9.563751,""mode"":-11.403183,""kld"":2.611413e-09,""variable"":""(Intercept)""},{""mean"":0.002107,""sd"":0.000424,""0.025quant"":0.001275,""0.5quant"":0.002107,""0.975quant"":0.002937,""mode"":0.002107,""kld"":5.403996e-11,""variable"":""rhum""},{""mean"":0.001428,""sd"":0.003171,""0.025quant"":-0.004813,""0.5quant"":0.001433,""0.975quant"":0.007635,""mode"":0.001433,""kld"":2.861304e-09,""variable"":""temp""}]"
bell,falciparum,3,83724.8636865358,82679.67115021936,-138632.24803801725,"[{""mean"":-11.582669,""sd"":0.077949,""0.025quant"":-11.737727,""0.5quant"":-11.58244,""0.975quant"":-11.429113,""mode"":-11.582493,""kld"":4.587789e-08,""variable"":""(Intercept)""}]"
bell,falciparum,4,83875.99842685559,82870.05469232408,-140547.54219458916,"[{""mean"":-11.902716,""sd"":1.033204,""0.025quant"":-13.925428,""0.5quant"":-11.904799,""0.975quant"":-9.867987,""mode"":-11.904755,""kld"":4.707283e-09,""variable"":""(Intercept)""},{""mean"":0.001426,""sd"":0.003582,""0.025quant"":-0.005631,""0.5quant"":0.001434,""0.975quant"":0.008437,""mode"":0.001434,""kld"":4.966437e-09,""variable"":""temp""}]"
bell,vivax,1,236302.0904853581,1396779.576818919,-210503.2051130061,"[{""mean"":-8.898145,""sd"":0.067519,""0.025quant"":-9.031768,""0.5quant"":-8.898128,""0.975quant"":-8.764632,""mode"":-8.898133,""kld"":5.987574e-08,""variable"":""(Intercept)""}]"
bell,vivax,2,236280.23062801908,1412490.2358471768,-210419.4535675104,"[{""mean"":-15.073432,""sd"":0.84452,""0.025quant"":-16.764566,""0.5quant"":-15.061127,""0.975quant"":-13.451431,""mode"":-15.06083,""kld"":5.146455e-08,""variable"":""(Intercept)""},{""mean"":0.003112,""sd"":0.00029,""0.025quant"":0.002548,""0.5quant"":0.00311,""0.975quant"":0.003686,""mode"":0.00311,""kld"":9.419267e-09,""variable"":""rhum""},{""mean"":0.020632,""sd"":0.002868,""0.025quant"":0.015123,""0.5quant"":0.02059,""0.975quant"":0.026377,""mode"":0.020589,""kld"":5.228148e-08,""variable"":""temp""}]"
bell,vivax,3,121724.810315976,119774.15799329184,-130449.13794776192,"[{""mean"":-9.426641,""sd"":0.058481,""0.025quant"":-9.543291,""0.5quant"":-9.426528,""0.975quant"":-9.310675,""mode"":-9.426541,""kld"":7.029473e-08,""variable"":""(Intercept)""}]"
bell,vivax,4,121742.6986307306,119797.97790959814,-130708.53497089988,"[{""mean"":-10.967896,""sd"":0.941186,""0.025quant"":-12.822997,""0.5quant"":-10.965465,""0.975quant"":-9.126796,""mode"":-10.965517,""kld"":5.40602e-09,""variable"":""(Intercept)""},{""mean"":0.003887,""sd"":0.00089,""0.025quant"":0.002142,""0.5quant"":0.003887,""0.975quant"":0.005634,""mode"":0.003887,""kld"":4.293601e-11,""variable"":""rhum""},{""mean"":0.004445,""sd"":0.003214,""0.025quant"":-0.001842,""0.5quant"":0.004437,""0.975quant"":0.010781,""mode"":0.004437,""kld"":5.354767e-09,""variable"":""temp""}]"
nbinomial,falciparum,1,141251.60081894978,141251.46499442408,-70625.73249528243,"[{""mean"":-0.006436,""sd"":0.002726,""0.025quant"":-0.011783,""0.5quant"":-0.006435,""0.975quant"":-0.001091,""mode"":-0.006435,""kld"":4.889739e-11,""variable"":""(Intercept)""}]"
nbinomial,falciparum,2,97035.95979472162,97132.10748133987,-48549.42959893789,"[{""mean"":-12.009826,""sd"":1.057255,""0.025quant"":-14.08635,""0.5quant"":-12.00926,""0.975quant"":-9.936439,""mode"":-12.009239,""kld"":1.400275e-09,""variable"":""(Intercept)""},{""mean"":0.00334,""sd"":0.00115,""0.025quant"":0.001085,""0.5quant"":0.00334,""0.975quant"":0.005597,""mode"":0.00334,""kld"":5.472024e-11,""variable"":""rhum""},{""mean"":0.002391,""sd"":0.00361,""0.025quant"":-0.004689,""0.5quant"":0.002389,""0.975quant"":0.009481,""mode"":0.002389,""kld"":1.38009e-09,""variable"":""temp""}]"
nbinomial,falciparum,3,141251.88351118032,141251.5734579407,-70625.78672655109,"[{""mean"":-0.006386,""sd"":0.002717,""0.025quant"":-0.011716,""0.5quant"":-0.006385,""0.975quant"":-0.001059,""mode"":-0.006385,""kld"":5.180407e-11,""variable"":""(Intercept)""}]"
nbinomial,falciparum,4,95715.2177735422,96019.05923903252,-91397.1755785642,"[{""mean"":-12.050747,""sd"":1.066068,""0.025quant"":-14.145102,""0.5quant"":-12.050311,""0.975quant"":-9.958798,""mode"":-12.050292,""kld"":3.795051e-09,""variable"":""(Intercept)""},{""mean"":0.001738,""sd"":0.003638,""0.025quant"":-0.005403,""0.5quant"":0.001737,""0.975quant"":0.008884,""mode"":0.001737,""kld"":3.76174e-09,""variable"":""temp""},{""mean"":0.002238,""sd"":0.001201,""0.025quant"":-0.000117,""0.5quant"":0.002238,""0.975quant"":0.004594,""mode"":0.002238,""kld"":6.611193e-11,""variable"":""rhum""}]"
nbinomial,vivax,1,144394.89179301928,144448.7564194338,-72224.99034344866,"[{""mean"":-9.043713,""sd"":0.058079,""0.025quant"":-9.159433,""0.5quant"":-9.043711,""0.975quant"":-8.928021,""mode"":-9.043714,""kld"":1.019353e-07,""variable"":""(Intercept)""}]"
nbinomial,vivax,2,144352.6042355057,144406.28714190648,-72203.77507464732,"[{""mean"":-10.637434,""sd"":0.92808,""0.025quant"":-12.463305,""0.5quant"":-10.635918,""0.975quant"":-8.820439,""mode"":-10.635986,""kld"":2.248884e-09,""variable"":""(Intercept)""},{""mean"":0.005371,""sd"":0.000837,""0.025quant"":0.00373,""0.5quant"":0.005371,""0.975quant"":0.007014,""mode"":0.005371,""kld"":5.654444e-11,""variable"":""rhum""},{""mean"":0.004058,""sd"":0.003168,""0.025quant"":-0.002144,""0.5quant"":0.004053,""0.975quant"":0.01029,""mode"":0.004053,""kld"":2.230767e-09,""variable"":""temp""}]"
nbinomial,vivax,3,109125.34655521266,107138.06893681372,-188330.583301202,"[{""mean"":-9.512096,""sd"":0.054275,""0.025quant"":-9.620154,""0.5quant"":-9.511848,""0.975quant"":-9.405364,""mode"":-9.511836,""kld"":6.955702e-08,""variable"":""(Intercept)""}]"
nbinomial,vivax,4,109659.245023506,107522.03082803324,-188134.5957232195,"[{""mean"":-11.090241,""sd"":0.957727,""0.025quant"":-12.978248,""0.5quant"":-11.087595,""0.975quant"":-9.217168,""mode"":-11.087573,""kld"":4.963691e-09,""variable"":""(Intercept)""},{""mean"":0.004153,""sd"":0.000891,""0.025quant"":0.002406,""0.5quant"":0.004154,""0.975quant"":0.005898,""mode"":0.004154,""kld"":9.623969e-11,""variable"":""rhum""},{""mean"":0.004533,""sd"":0.003271,""0.025quant"":-0.001865,""0.5quant"":0.004525,""0.975quant"":0.010981,""mode"":0.004525,""kld"":4.798189e-09,""variable"":""temp""}]"
poisson,falciparum,1,36444.59489284339,2821533.5213013142,-Inf,"[{""mean"":-10.810487,""sd"":0.08842,""0.025quant"":-10.984731,""0.5quant"":-10.810461,""0.975quant"":-10.636415,""mode"":-10.810467,""kld"":3.211211e-08,""variable"":""(Intercept)""}]"
poisson,falciparum,2,35443.26333539351,2817426.996295413,-Inf,"[{""mean"":-12.592639,""sd"":0.689796,""0.025quant"":-13.949571,""0.5quant"":-12.591269,""0.975quant"":-11.243507,""mode"":-12.591263,""kld"":1.056149e-09,""variable"":""(Intercept)""},{""mean"":0.003188,""sd"":0.000244,""0.025quant"":0.00271,""0.5quant"":0.003188,""0.975quant"":0.003667,""mode"":0.003188,""kld"":1.385136e-10,""variable"":""rhum""},{""mean"":0.00533,""sd"":0.00233,""0.025quant"":0.000772,""0.5quant"":0.005326,""0.975quant"":0.009912,""mode"":0.005326,""kld"":9.241203e-10,""variable"":""temp""}]"
poisson,falciparum,3,74133.61138959271,73969.52055155218,-217236.68738619372,"[{""mean"":-11.751952,""sd"":0.080913,""0.025quant"":-11.913473,""0.5quant"":-11.751334,""0.975quant"":-11.594112,""mode"":-11.751384,""kld"":5.997998e-08,""variable"":""(Intercept)""}]"
poisson,falciparum,4,74275.0409396706,74197.63531472161,-219091.10364634224,"[{""mean"":-12.026276,""sd"":1.067292,""0.025quant"":-14.11422,""0.5quant"":-12.029021,""0.975quant"":-9.922624,""mode"":-12.028989,""kld"":5.691469e-09,""variable"":""(Intercept)""},{""mean"":0.00138,""sd"":0.003699,""0.025quant"":-0.005912,""0.5quant"":0.001391,""0.975quant"":0.008614,""mode"":0.001391,""kld"":6.099301e-09,""variable"":""temp""}]"
poisson,vivax,1,-585860.9664349462,14944948.764213538,-Inf,"[{""mean"":-8.88684,""sd"":0.069247,""0.025quant"":-9.023788,""0.5quant"":-8.886822,""0.975quant"":-8.750012,""mode"":-8.886826,""kld"":5.803797e-08,""variable"":""(Intercept)""}]"
poisson,vivax,2,-586030.3205944556,15042559.052131766,-Inf,"[{""mean"":-20.887688,""sd"":0.466402,""0.025quant"":-21.803266,""0.5quant"":-20.887347,""0.975quant"":-19.974036,""mode"":-20.887342,""kld"":1.672388e-10,""variable"":""(Intercept)""},{""mean"":0.004965,""sd"":0.000145,""0.025quant"":0.004681,""0.5quant"":0.004965,""0.975quant"":0.00525,""mode"":0.004965,""kld"":8.855618e-11,""variable"":""rhum""},{""mean"":0.040388,""sd"":0.001569,""0.025quant"":0.037313,""0.5quant"":0.040387,""0.975quant"":0.043468,""mode"":0.040387,""kld"":1.562292e-10,""variable"":""temp""}]"
poisson,vivax,3,106114.2859354813,104361.91256061869,-189716.00279853377,"[{""mean"":-9.514577,""sd"":0.063507,""0.025quant"":-9.640653,""0.5quant"":-9.51444,""0.975quant"":-9.389283,""mode"":-9.514442,""kld"":7.489788e-08,""variable"":""(Intercept)""}]"
poisson,vivax,4,106136.60705006914,104394.80849555328,-190186.63091056753,"[{""mean"":-11.087032,""sd"":0.953828,""0.025quant"":-12.968498,""0.5quant"":-11.084127,""0.975quant"":-9.222305,""mode"":-11.084194,""kld"":6.537079e-09,""variable"":""(Intercept)""},{""mean"":0.004161,""sd"":0.000884,""0.025quant"":0.00243,""0.5quant"":0.004161,""0.975quant"":0.005895,""mode"":0.004161,""kld"":1.037452e-10,""variable"":""rhum""},{""mean"":0.004493,""sd"":0.003257,""0.025quant"":-0.001875,""0.5quant"":0.004484,""0.975quant"":0.010917,""mode"":0.004484,""kld"":6.373204e-09,""variable"":""temp""}]"
zeroinflatedpoisson1,falciparum,1,21752.170378170093,2582452.446167116,-Inf,"[{""mean"":-10.636623,""sd"":0.088698,""0.025quant"":-10.811436,""0.5quant"":-10.636617,""0.975quant"":-10.461857,""mode"":-10.636621,""kld"":4.007719e-08,""variable"":""(Intercept)""}]"
zeroinflatedpoisson1,falciparum,2,22611.57417586248,2571599.989751815,-Inf,"[{""mean"":-11.573513,""sd"":0.685616,""0.025quant"":-12.91848,""0.5quant"":-11.573468,""0.975quant"":-10.228814,""mode"":-11.57347,""kld"":6.546667e-11,""variable"":""(Intercept)""},{""mean"":0.003308,""sd"":0.000244,""0.025quant"":0.00283,""0.5quant"":0.003308,""0.975quant"":0.003785,""mode"":0.003308,""kld"":8.963528e-12,""variable"":""rhum""},{""mean"":0.002359,""sd"":0.002316,""0.025quant"":-0.002185,""0.5quant"":0.002359,""0.975quant"":0.006901,""mode"":0.002359,""kld"":7.450537e-11,""variable"":""temp""}]"
